"ip","city","region","country","isp","page","referrer","timestamp","userAgent","user_agent","created_at"
"47.185.188.124","Flower Mound","Texas","United States","FRONTIER-FRTR","/","https://safesapcrtx.org/","2026-01-04T04:22:44.957Z","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36","2026-01-04T04:22:42.454Z"
"149.56.150.212","Montreal","Quebec","Canada","OVH SAS","/","https://safesapcrtx.org/","2026-01-04T04:20:13.631Z","Mozilla/5.0 (compatible; Dataprovider.com)","Mozilla/5.0 (compatible; Dataprovider.com)","2026-01-04T04:20:13.728Z"
"73.109.144.35","Redmond","Washington","United States","COMCAST-7922","/","https://safesapcrtx.org/","2026-01-04T03:11:28.235Z","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36","2026-01-04T03:11:28.603Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T02:30:25.721Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-04T02:30:25.731Z"
"2600:100d:b09f:b63e:e00b:72:9da6:6b1a","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T02:28:52.750Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-01-04T02:28:52.832Z"
"2600:100d:b09f:b63e:e00b:72:9da6:6b1a","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T02:27:15.993Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-01-04T02:27:16.082Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://6959bd4c2dd041822cb0f89f--safesapcr.netlify.app/","2026-01-04T01:07:46.947Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T01:07:46.925Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T00:53:56.543Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-04T00:53:56.509Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://6959b39587f16e4e230591a5--safesapcr.netlify.app/","2026-01-04T00:26:19.982Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T00:26:19.932Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T00:16:13.848Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-04T00:16:13.786Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/other-states","https://safesapcrtx.org/other-states","2026-01-04T00:14:28.109Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","2026-01-04T00:14:28.142Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T00:14:27.095Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","2026-01-04T00:14:27.047Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T00:14:24.070Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","2026-01-04T00:14:24.256Z"
"96.60.58.203","Concord","Tennessee","United States","TDS-AS","/","https://safesapcrtx.org/","2026-01-04T00:05:12.894Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1","2026-01-04T00:05:13.112Z"
"205.169.39.242","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/","2026-01-03T23:31:52.171Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","2026-01-03T23:31:52.294Z"
"57.132.142.183","San Marcos","Texas","United States","GRANDECOM-AS1","/","https://safesapcrtx.org/","2026-01-03T22:55:00.400Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","2026-01-03T22:55:00.444Z"
